Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9
0.814,0.110,0.280,0.093,0.856,0.787,0.740,0.826,0.551
0.230,0.031,0.701,0.753,0.218,0.218,0.646,0.645,0.196
0.804,0.058,0.138,0.364,0.906,0.962,0.873,0.899,0.648
0.649,0.031,0.227,0.091,0.711,0.719,0.862,0.875,0.382
0.031,0.843,0.064,0.007,0.016,0.027,0.684,0.886,0.020
0.423,0.083,0.018,0.008,0.408,0.223,0.670,0.688,0.171
0.423,0.083,0.018,0.008,0.408,0.223,0.670,0.688,0.171
0.025,0.106,0.425,0.833,0.015,0.011,0.439,0.351,0.021
0.574,0.016,0.684,0.752,0.668,0.725,0.853,0.858,0.432
0.147,0.022,0.722,0.662,0.157,0.053,0.881,0.933,0.072
0.876,0.009,0.017,0.023,0.944,0.959,0.787,0.694,0.489
0.043,0.172,0.136,0.170,0.034,0.012,0.333,0.306,0.021
0.043,0.172,0.136,0.170,0.034,0.012,0.333,0.306,0.021
0.608,0.020,0.650,0.908,0.759,0.752,0.741,0.706,0.449
0.476,0.068,0.018,0.005,0.526,0.392,0.790,0.687,0.154
0.602,0.010,0.030,0.137,0.759,0.832,0.890,0.777,0.259
0.346,0.015,0.959,0.845,0.390,0.317,0.927,0.922,0.306
0.306,0.004,0.290,0.948,0.493,0.658,0.828,0.850,0.160
0.491,0.051,0.760,0.419,0.482,0.360,0.888,0.870,0.331
0.334,0.022,0.016,0.021,0.449,0.567,0.850,0.847,0.126
0.245,0.018,0.598,0.991,0.313,0.452,0.709,0.630,0.164
0.261,0.005,0.370,0.930,0.387,0.418,0.713,0.787,0.131
0.805,0.042,0.017,0.021,0.896,0.947,0.893,0.900,0.534
0.349,0.025,0.938,0.936,0.359,0.364,0.820,0.758,0.311
0.865,0.029,0.343,0.955,0.946,0.965,0.768,0.781,0.627
0.662,0.005,0.032,0.015,0.800,0.668,0.914,0.790,0.237
0.862,0.073,0.536,0.912,0.911,0.953,0.601,0.595,0.702
0.159,0.625,0.231,0.025,0.124,0.079,0.597,0.838,0.051
0.149,0.010,0.878,0.774,0.154,0.063,0.906,0.964,0.083
0.913,0.008,0.129,0.378,0.977,0.991,0.938,0.930,0.646
0.012,0.892,0.251,0.171,0.003,0.008,0.420,0.891,0.006
0.091,0.096,0.854,0.545,0.073,0.032,0.891,0.924,0.052
0.091,0.096,0.854,0.545,0.073,0.032,0.891,0.924,0.052
0.837,0.011,0.122,0.606,0.937,0.965,0.788,0.763,0.581
0.491,0.071,0.796,0.673,0.484,0.402,0.777,0.816,0.388
0.013,0.030,0.034,0.010,0.008,0.004,0.879,0.923,0.005
0.239,0.066,0.753,0.785,0.226,0.268,0.769,0.745,0.171
0.473,0.058,0.890,0.767,0.496,0.375,0.742,0.831,0.375
0.894,0.192,0.060,0.030,0.914,0.935,0.702,0.758,0.701
0.940,0.041,0.008,0.003,0.964,0.977,0.771,0.655,0.510
0.070,0.016,0.561,0.917,0.069,0.059,0.702,0.783,0.046
0.198,0.047,0.022,0.007,0.191,0.167,0.844,0.601,0.051
0.578,0.059,0.409,0.310,0.622,0.664,0.787,0.804,0.266
0.882,0.032,0.711,0.880,0.940,0.966,0.757,0.785,0.730
0.293,0.062,0.865,0.602,0.259,0.238,0.896,0.945,0.149
0.293,0.026,0.767,0.824,0.348,0.229,0.696,0.788,0.202
0.120,0.015,0.464,0.190,0.109,0.064,0.928,0.944,0.040
0.622,0.070,0.119,0.280,0.725,0.680,0.545,0.641,0.341
0.571,0.046,0.868,0.731,0.617,0.507,0.747,0.853,0.444
0.023,0.026,0.759,0.335,0.018,0.005,0.948,0.979,0.008
0.051,0.639,0.160,0.214,0.030,0.060,0.707,0.904,0.032
